ISIN,Local 1,Ticker,Issuer,Issuer Country,Coupon,Workout date,Final Maturity,Expected Remaining Life,Time To Maturity,Next Call Date,Next Coupon Date,Coupon Frequency,Bid Price,Ask Price,Bid_Ask_Spread,Index Price,Accrued Interest,Dirty Index Price,Coupon Payment,Notional Amount,Capped Notional Amount,Market Value,Capped Market Value,Cash Payment,Capped Cash Payment,Street Yield,Annual Yield,Semi-Annual Yield,Street Yield to Maturity,Annual Yield to Maturity,Semi-Annual Yield to Maturity,Duration,Street Modified Duration,Annual Modified Duration,Semi-Annual Modified Duration,Street Modified Duration to Maturity,Annual Modified Duration to Maturity,Semi-Annual Modified Duration to Maturity,Effective OA duration,Street Convexity,Annual Convexity,Semi-Annual Convexity,Street Convexity to Maturity,Annual Convexity to Maturity,Semi-Annual Convexity to Maturity,OA Convexity,Benchmark ISIN,Annual Benchmark Spread,Semi-Annual Benchmark Spread,Annual Benchmark Spread to BM-Curve,Semi-Annual Benchmark Spread to BM-Curve,Asset Swap Margin,OAS,Z-Spread,Z-Spread Over Libor,DV 01,Level 1,Level 4,Level 5,Level 6,Level 7,Level 8,Markit iBoxx Rating,Seniority Level 1,Seniority Level 2,Is Hybrid Capital,is Callable,1-5 Years,1-10 Years,1-15 Years,1-20 Years,3-5 Years,5-7 Years,5-10 Years,5-15 Years,7-10 Years,10-15 Years,15-20 Years,15-25 Years,20-25 Years,25-30 Years,5+ Years,7+ Years,10+ Years,15+ Years,25+ Years,30+ Years,Daily Return,Month-to-Date Return,Quarter-to-Date Return,Year-to-Date Return,Daily Sovereign Curve Swap Return,Daily Libor Swap Return,Month-to-date Sovereign Curve Swap Return,Month-to-date Libor Swap Return,Duration weighted exposure
US032479AD91,,APC,ANADARKO FINANCE CO,CANADA,7.5,1/5/2031,1/5/2031,15.26666667,15.26666667,,1/5/2016,2,91.89515,93.93203,2.03688,91.89515,1.75,93.64515,0.0,900000000,900000000.0,842806350.0,842806350.0,0.0,0.0,8.452590999,8.631206735,8.452590999,8.452590999,8.631206735,8.452590999,8.903966048,8.542917126,8.196508458,8.542917126,8.542917126,8.196508458,8.542917126,8.761934989,105.0445442,100.4709435,105.0445442,105.0445442,100.4709435,105.0445442,106.9367435,US912828M565,659.7027866,642.8652944,638.161812,621.5811801,586.1627712,644.087419,644.1128262,662.0385156,0.082051272,G,Non-Financials,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production,BBB,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.010172909,-0.151372917,-0.151372917,-0.151372917,0.002624755,0.0026965,0.025358351,0.039730204,0.00331008
US92344GAM87,,VZ,Verizon Global Funding Corp,UNITED STATES,7.75,1/12/2030,1/12/2030,14.85,14.85,,1/6/2016,2,128.88048,129.62254,0.74206,128.88048,1.1625,130.04298,0.0,1206000000,1000799719.0,1568318339.0,1301469779.0,0.0,0.0,4.975107076,5.036986302,4.975107076,4.975107076,5.036986302,4.975107076,9.713262143,9.477504153,9.247468425,9.477504153,9.477504153,9.247468425,9.477504153,9.59119264,120.1652999,118.8048501,120.1652999,120.1652999,118.8048501,120.1652999,119.0426793,US912828M565,300.2807433,295.1169021,280.3830978,275.4565214,331.9560333,281.8158208,281.8436652,299.8863678,0.124726727,D,Non-Financials,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications,BBB,*,*,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,-0.012732053,0.009493843,0.009493843,0.009493843,0.002572462,0.002607844,0.025261944,0.038955926,0.005111457
US00209AAF30,,T,New Cingular Wireless Services Inc,UNITED STATES,8.75,1/3/2031,1/3/2031,15.1,15.1,,1/3/2016,2,139.80405,141.13264,1.32859,139.80405,3.5,143.30405,0.0,822102000,822102000.0,1178105461.0,1178105461.0,0.0,0.0,4.97024044,5.031998665,4.97024044,4.97024044,5.031998665,4.97024044,9.444536032,9.215519299,8.992055899,9.215519299,9.215519299,8.992055899,9.215519299,9.316032318,116.9408188,115.618905,116.9408188,116.9408188,115.618905,116.9408188,115.6230698,US912828M565,299.7819796,294.6302385,278.8983367,273.9956177,350.7543016,281.6643208,281.6806989,299.8824026,0.133502516,G,Non-Financials,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications,BBB,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.002286356,0.026708301,0.026708301,0.026708301,0.002603478,0.002673429,0.025325616,0.039408184,0.00462695
US35177PAL13,,ORAFP,Orange SA,FRANCE,9.0,1/3/2031,1/3/2031,15.1,15.1,,1/3/2016,2,139.32155,140.62829,1.30674,139.32155,3.6,142.92155,0.0,2500000000,2500000000.0,3573038750.0,3573038750.0,0.0,0.0,5.206531879,5.274301815,5.206531879,5.206531879,5.274301815,5.206531879,9.325163275,9.088563789,8.857967343,9.088563789,9.088563789,8.857967343,9.088563789,9.195583188,114.5563843,113.024134,114.5563843,114.5563843,113.024134,114.5563843,113.4416011,US912828M565,324.0122946,318.2593824,303.1286517,297.6247616,378.9512647,306.5507295,306.5675245,324.6453336,0.1314247,G,Non-Financials,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications,BBB,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.002276838,-0.009769242,-0.009769242,-0.009769242,0.002603478,0.002673429,0.025325616,0.039408184,0.014032931
US25179SAD27,,DVN,DEVON FINANCING CORP ULC,UNITED STATES,7.875,30/09/2031,30/09/2031,15.68055556,15.68055556,,30/03/2016,2,94.2165,95.32761,1.11111,94.2165,2.515625,96.732125,0.0,1250000000,1250000000.0,1209151563.0,1209151563.0,0.0,0.0,8.54925198,8.731976254,8.54925198,8.54925198,8.731976254,8.54925198,8.835563011,8.473358621,8.12600241,8.473358621,8.473358621,8.12600241,8.473358621,8.68394824,105.4306391,100.7004969,105.4306391,105.4306391,100.7004969,105.4306391,107.265748,US912828M565,669.7797385,652.5313925,646.6063904,629.6343695,603.8314083,653.5321824,653.5239358,671.9745409,0.084001677,G,Non-Financials,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production,BBB,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.002410011,-0.037287735,-0.037287735,-0.037287735,0.002673072,0.002752699,0.025493476,0.040536777,0.004748882
US91913YAE05,,VLO,VALERO ENERGY CORP,UNITED STATES,7.5,15/04/2032,15/04/2032,16.22222222,16.22222222,,15/04/2016,2,107.80651,108.58563,0.77912,107.80651,2.083333333,109.8898433,0.0,750000000,750000000.0,824173825.0,824173825.0,0.0,0.0,6.701852192,6.814139249,6.701852192,6.701852192,6.814139249,6.701852192,9.713123562,9.398196929,9.093481098,9.398196929,9.398196929,9.093481098,9.398196929,9.555973699,124.6564339,120.9607412,124.6564339,124.6564339,120.9607412,124.6564339,125.0891031,US912828M565,477.996038,467.7914137,452.686362,442.783537,468.4258948,456.1204427,456.1325153,476.2070681,0.105010445,D,Non-Financials,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production,BBB,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,-0.002369025,-0.007777074,-0.007777074,-0.007777074,0.002739449,0.002824578,0.025760043,0.041575233,0.003236901
US001957BD05,,T,AT&T CORP,UNITED STATES,8.25,15/11/2031,15/11/2031,15.80555556,15.80555556,,15/05/2016,2,136.32297,138.3584,2.03543,136.32297,1.604166667,137.9271367,0.0,770489000,770489000.0,1062713416.0,1062713416.0,0.0,0.0,4.9165929,4.977025115,4.9165929,4.9165929,4.977025115,4.9165929,9.983132412,9.743605699,9.509825984,9.743605699,9.743605699,9.509825984,9.743605699,9.840183646,129.141722,127.5485134,129.141722,129.141722,127.5485134,129.141722,127.7082503,US912828M565,294.2846246,289.2654845,270.6182777,265.8813414,335.9768086,272.4792301,272.4814075,292.1528921,0.135722835,G,Non-Financials,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications,BBB,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.005739976,0.023516813,0.023516813,0.023516813,0.00269054,0.002769166,0.025568395,0.040776934,0.004173754
US904764AH00,,UNANA,UNILEVER CAPITAL CORP,UNITED STATES,5.9,15/11/2032,15/11/2032,16.80555556,16.80555556,,15/05/2016,2,128.9318,129.67206,0.74026,128.9318,1.147222222,130.0790222,0.0,1000000000,1000000000.0,1300790222.0,1300790222.0,0.0,0.0,3.591494118,3.623741193,3.591494118,3.591494118,3.623741193,3.591494118,11.550983,11.3472157,11.14704301,11.3472157,11.3472157,11.14704301,11.3472157,11.40212797,167.0034079,166.5418826,167.0034079,167.0034079,166.5418826,167.0034079,164.0652171,US912828M565,158.9562324,156.7556063,131.3458957,129.4745025,166.1172752,127.4051968,127.4035994,150.1347105,0.148317766,G,Non-Financials,Consumer Goods,Food & Beverage,Food Producers,Food Products,A,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.004558983,0.017001387,0.017001387,0.017001387,0.002801172,0.002901611,0.026082943,0.042669057,0.005108788
US00209TAB17,,CMCSA,Comcast Cable Communications Holdings Inc,UNITED STATES,9.455,15/11/2022,15/11/2022,6.805555556,6.805555556,,15/05/2016,2,139.76588,140.47012,0.70424,139.76588,1.838472222,141.6043522,0.0,1072058000,1072058000.0,1518080786.0,1518080786.0,0.0,0.0,2.959374959,2.98126971,2.959374959,2.959374959,2.98126971,2.959374959,5.384484431,5.305972619,5.228605596,5.305972619,5.305972619,5.228605596,5.305972619,5.367698344,35.11634372,36.63835825,35.11634372,35.11634372,36.63835825,35.11634372,33.3195406,US912828N308,118.8925323,117.4990641,120.9700983,119.5599318,166.4012614,129.543087,129.5324967,141.113517,0.076008945,G,Non-Financials,Consumer Services,Media,Media,Broadcasting & Entertainment,A,*,*,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.002974491,0.010698755,0.010698755,0.010698755,0.001117883,0.00081121,0.02209423,0.022043317,0.005962186
US68233DAR89,,ONCRTX,Oncor Electric Delivery Co LLC,UNITED STATES,7.0,1/9/2022,1/9/2022,6.6,6.6,,1/3/2016,2,120.4739,121.12925,0.65535,120.4739,2.8,123.2739,0.0,800000000,800000000.0,986191200.0,986191200.0,0.0,0.0,3.498247569,3.528841909,3.498247569,3.498247569,3.528841909,3.498247569,5.397111208,5.304331877,5.213147475,5.304331877,5.304331877,5.213147475,5.304331877,5.384176499,34.67251722,36.00841106,34.67251722,34.67251722,36.00841106,34.67251722,33.08483954,US912828N308,173.6497522,171.3863251,179.1230293,176.815611,211.086581,184.6333774,184.6115895,196.5264259,0.066372844,D,Non-Financials,Utilities,Utilities,Electricity,Electricity,A,*,*,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-4.26e-05,0.006034438,0.006034438,0.006034438,0.001070771,0.000829152,0.021612431,0.021537697,0.003873217
